countyState,GEOID,lon,lat,P_total,P_white,P_black,P_asian,P_native,P_hawaiian,P_others,P_below_middle_school,P_some_high_school,P_high_school_equivalent,P_some_college,P_bachelor_and_above,P_below_poverty,median_age,gini_index,median_household_income,median_rent_per_income,percent_no_internet,Year,State,CountyID,StateCountyName,AllAgesSAIPEPovertyUniverse,AllAgesinPovertyCount,AllAgesinPovertyCountLB90%,AllAgesinPovertyCountUB90%,90%ConfidenceInterval(AllAgesinPovertyCount),AllAgesinPovertyPercent,AllAgesinPovertyPercentLB90%,AllAgesinPovertyPercentUB90%,90%ConfidenceInterval(AllAgesinPovertyPercent),UnderAge18SAIPEPovertyUniverse,UnderAge18inPovertyCount,UnderAge18inPovertyCountLB90%,UnderAge18inPovertyCountUB90%,90%ConfidenceInterval(UnderAge18inPovertyCount),UnderAge18inPovertyPercent,UnderAge18inPovertyPercentLB90%,UnderAge18inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge18inPovertyPercent),Ages5to17inFamiliesSAIPEPovertyUniverse,Ages5to17inFamiliesinPovertyCount,Ages5to17inFamiliesinPovertyCountLB90%,Ages5to17inFamiliesinPovertyCountUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyCount),Ages5to17inFamiliesinPovertyPercent,Ages5to17inFamiliesinPovertyPercentLB90%,Ages5to17inFamiliesinPovertyPercentUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyPercent),UnderAge5SAIPEPovertyUniverse,UnderAge5inPovertyCount,UnderAge5inPovertyCountLB90%,UnderAge5inPovertyCountUB90%,90%ConfidenceInterval(UnderAge5inPovertyCount),UnderAge5inPovertyPercent,UnderAge5inPovertyPercentLB90%,UnderAge5inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge5inPovertyPercent),MedianHouseholdIncomeinDollars,MedianHouseholdIncomeinDollarsLB90%,MedianHouseholdIncomeinDollarsUB90%,90%ConfidenceInterval(MedianHouseholdIncomeinDollars)
Pima County (AZ),05000US04019,-111.7830177,32.1282374,1016206,774608,34344,28713,32670,1550,94614,21541,48684,149691,230298,215628,181277,38.3,0.4684,47560,30.3,12.6416106377936,2017,4,4019,Pima County (AZ),998103,165811,155669,175953,"155,669 to 175,953",16.6,15.6,17.6,15.6 to 17.6,212045,47691,42720,52662,"42,720 to 52,662",22.5,20.2,24.8,20.2 to 24.8,153971,31835,28117,35553,"28,117 to 35,553",20.7,18.3,23.1,18.3 to 23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,392","$50,304","$52,480","$50,304 to $52,480"
Pinal County (AZ),05000US04021,-111.3672569,32.91891,418540,337571,18679,8568,21796,1357,17937,8960,26252,80736,106961,58235,61143,39.2,0.4407,52555,29.2,13.1104932301741,2017,4,4021,Pinal County (AZ),403619,52566,46394,58738,"46,394 to 58,738",13.0,11.5,14.5,11.5 to 14.5,96883,16456,13196,19716,"13,196 to 19,716",17,13.6,20.4,13.6 to 20.4,72068,10900,8560,13240,"8,560 to 13,240",15.1,11.9,18.3,11.9 to 18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,114","$51,064","$55,164","$51,064 to $55,164"
Yavapai County (AZ),05000US04025,-112.5737449,34.6300439,225562,209960,1130,2368,3491,207,4025,1506,9954,47109,70385,41400,28082,53.1,0.4627,50420,30.4,17.0794633642931,2017,4,4025,Yavapai County (AZ),224110,31166,27027,35305,"27,027 to 35,305",13.9,12.1,15.7,12.1 to 15.7,36887,7643,6021,9265,"6,021 to 9,265",20.7,16.3,25.1,16.3 to 25.1,27368,5370,4199,6541,"4,199 to 6,541",19.6,15.3,23.9,15.3 to 23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,860","$47,282","$52,438","$47,282 to $52,438"
Yuma County (AZ),05000US04027,-113.910905,32.7739424,205631,112651,3696,2719,2926,266,78192,14696,14229,34499,41773,20023,36136,34.8,0.4269,43518,27,18.0068973067659,2017,4,4027,Yuma County (AZ),198487,37751,32653,42849,"32,653 to 42,849",19.0,16.4,21.6,16.4 to 21.6,51980,13582,11099,16065,"11,099 to 16,065",26.1,21.3,30.9,21.3 to 30.9,37098,10199,8349,12049,"8,349 to 12,049",27.5,22.5,32.5,22.5 to 32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,013","$43,647","$48,379","$43,647 to $48,379"
Alameda County (CA),05000US06001,-121.9133039,37.6480811,1647704,688067,174855,483856,10122,13865,171152,63504,63957,203437,287522,526093,172923,37.4,0.4604,89979,29.8,10.138773312448,2017,6,6001,Alameda County (CA),1634436,152087,142181,161993,"142,181 to 161,993",9.3,8.7,9.9,8.7 to 9.9,340711,35658,31083,40233,"31,083 to 40,233",10.5,9.2,11.8,9.2 to 11.8,243843,24513,20989,28037,"20,989 to 28,037",10.1,8.7,11.5,8.7 to 11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$95,550","$93,504","$97,596","$93,504 to $97,596"
Butte County (CA),05000US06007,-121.6019188,39.6659588,226864,187892,3563,10665,2567,811,9577,5192,10017,34807,58155,38076,43838,38.1,0.4888,45177,38.5,13.5892249593715,2017,6,6007,Butte County (CA),224526,40728,36647,44809,"36,647 to 44,809",18.1,16.3,19.9,16.3 to 19.9,45089,10208,8436,11980,"8,436 to 11,980",22.6,18.7,26.5,18.7 to 26.5,32527,6893,5504,8282,"5,504 to 8,282",21.2,16.9,25.5,16.9 to 25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,634","$45,973","$51,295","$45,973 to $51,295"
Contra Costa County (CA),05000US06013,-121.9515431,37.919479,1135127,658852,97413,183849,3159,4891,104400,37361,35488,133598,239017,323443,97049,39.5,0.4596,91045,31.1,7.16914395534747,2017,6,6013,Contra Costa County (CA),1138266,103883,94803,112963,"94,803 to 112,963",9.1,8.3,9.9,8.3 to 9.9,259327,29067,25780,32354,"25,780 to 32,354",11.2,9.9,12.5,9.9 to 12.5,193483,19894,17408,22380,"17,408 to 22,380",10.3,9.0,11.6,9.0 to 11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$95,062","$92,560","$97,564","$92,560 to $97,564"
El Dorado County (CA),05000US06017,-120.5343981,38.785532,185625,162495,1795,8904,2379,462,3745,3030,5222,29859,49951,45596,15373,46.1,0.4609,75772,29.2,10.5882015132155,2017,6,6017,El Dorado County (CA),187695,15620,12971,18269,"12,971 to 18,269",8.3,6.9,9.7,6.9 to 9.7,37426,3602,2781,4423,"2,781 to 4,423",9.6,7.4,11.8,7.4 to 11.8,28721,2531,1923,3139,"1,923 to 3,139",8.8,6.7,10.9,6.7 to 10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$78,464","$73,194","$83,734","$73,194 to $83,734"
Fresno County (CA),05000US06019,-119.6550193,36.7610058,979915,640619,47646,101993,10176,1183,143649,70135,64384,139362,187031,120826,247507,32.1,0.491,48715,36.5,17.4710437443934,2017,6,6019,Fresno County (CA),972367,205046,192640,217452,"192,640 to 217,452",21.1,19.8,22.4,19.8 to 22.4,278334,78675,72265,85085,"72,265 to 85,085",28.3,26.0,30.6,26.0 to 30.6,200485,53484,48553,58415,"48,553 to 58,415",26.7,24.2,29.2,24.2 to 29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,452","$49,837","$53,067","$49,837 to $53,067"
Humboldt County (CA),05000US06023,-123.9258181,40.7066731,136646,110795,1172,4212,7228,0,3154,991,6924,23705,32405,27020,26945,37.9,0.5038,43130,35.3,14.9253180896183,2017,6,6023,Humboldt County (CA),133150,26262,22440,30084,"22,440 to 30,084",19.7,16.8,22.6,16.8 to 22.6,25725,6347,5086,7608,"5,086 to 7,608",24.7,19.8,29.6,19.8 to 29.6,18237,4169,3249,5089,"3,249 to 5,089",22.9,17.9,27.9,17.9 to 27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,123","$42,221","$50,025","$42,221 to $50,025"
Imperial County (CA),05000US06025,-115.3553946,33.0408155,180883,110971,4122,2731,1808,301,54515,13792,16748,26038,34525,15162,42303,32.5,0.4746,49095,31.8,22.5749637721547,2017,6,6025,Imperial County (CA),173506,35830,31261,40399,"31,261 to 40,399",20.7,18.1,23.3,18.1 to 23.3,51878,14566,12062,17070,"12,062 to 17,070",28.1,23.3,32.9,23.3 to 32.9,36551,9771,7792,11750,"7,792 to 11,750",26.7,21.3,32.1,21.3 to 32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,413","$39,624","$47,202","$39,624 to $47,202"
Kern County (CA),05000US06029,-118.7295064,35.3466288,884788,642077,47668,40615,11936,3142,106937,59354,68973,144166,162350,86885,193133,31.3,0.4644,49903,32.7,17.3314001013467,2017,6,6029,Kern County (CA),861002,182948,171072,194824,"171,072 to 194,824",21.2,19.8,22.6,19.8 to 22.6,255761,74276,68370,80182,"68,370 to 80,182",29,26.7,31.3,26.7 to 31.3,185271,50383,46006,54760,"46,006 to 54,760",27.2,24.8,29.6,24.8 to 29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,904","$47,939","$51,869","$47,939 to $51,869"
Kings County (CA),05000US06031,-119.8155301,36.072478,149785,99706,10028,5238,2083,472,25665,8953,12668,28265,29719,10671,21565,31.8,0.4321,53234,28.4,17.2963564632165,2017,6,6031,Kings County (CA),134707,24810,21366,28254,"21,366 to 28,254",18.4,15.8,21.0,15.8 to 21.0,40551,9951,8537,11365,"8,537 to 11,365",24.5,21.0,28,21.0 to 28.0,29063,7080,6022,8138,"6,022 to 8,138",24.4,20.8,28.0,20.8 to 28.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,076","$51,701","$58,451","$51,701 to $58,451"
Lake County (CA),05000US06033,-122.7467569,39.0948019,64116,NA,NA,NA,NA,NA,NA,1948,4675,11805,20786,7617,12973,46.5,0.4763,42029,34.2,23.1041353230594,2017,6,6033,Lake County (CA),63300,12817,10736,14898,"10,736 to 14,898",20.2,16.9,23.5,16.9 to 23.5,12992,3905,3118,4692,"3,118 to 4,692",30.1,24.0,36.2,24.0 to 36.2,9327,2787,2214,3360,"2,214 to 3,360",29.9,23.8,36.0,23.8 to 36.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,797","$42,700","$48,894","$42,700 to $48,894"
Los Angeles County (CA),05000US06037,-118.2618616,34.1963983,10137915,5093898,826516,1474575,65370,26104,2258451,744735,604335,1433558,1787322,2167313,1628305,36.3,0.503,61338,34.5,14.2095100147054,2017,6,6037,Los Angeles County (CA),10007071,1490853,1454153,1527553,"1,454,153 to 1,527,553",14.9,14.5,15.3,14.5 to 15.3,2188918,457665,440895,474435,"440,895 to 474,435",20.9,20.1,21.7,20.1 to 21.7,1577008,321855,309267,334443,"309,267 to 334,443",20.4,19.6,21.2,19.6 to 21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,912","$64,252","$65,572","$64,252 to $65,572"
Madera County (CA),05000US06039,-119.7498519,37.2100387,154697,109705,4535,2748,3262,312,28121,13445,11722,24199,32648,11339,29736,33.6,0.4481,51657,33.7,20.2979557799364,2017,6,6039,Madera County (CA),148973,31569,27218,35920,"27,218 to 35,920",21.2,18.3,24.1,18.3 to 24.1,42269,12075,10097,14053,"10,097 to 14,053",28.6,23.9,33.3,23.9 to 33.3,30760,8435,7010,9860,"7,010 to 9,860",27.4,22.8,32.0,22.8 to 32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,783","$47,084","$54,482","$47,084 to $54,482"
Marin County (CA),05000US06041,-122.7459738,38.0518169,260651,200426,6114,13886,274,397,25607,8411,3776,19769,44814,112386,19762,46.1,0.5245,103845,30.5,7.20848654697977,2017,6,6041,Marin County (CA),254370,20222,17808,22636,"17,808 to 22,636",7.9,7,8.8,7.0 to 8.8,51933,4262,3470,5054,"3,470 to 5,054",8.2,6.7,9.7,6.7 to 9.7,39882,2898,2338,3458,"2,338 to 3,458",7.3,5.9,8.7,5.9 to 8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$112,735","$107,137","$118,333","$107,137 to $118,333"
Mendocino County (CA),05000US06045,-123.4428811,39.4323876,87628,71202,412,1125,3169,231,5887,3776,5269,15184,22807,13734,16881,42.8,0.5156,43809,37.4,16.2758542848275,2017,6,6045,Mendocino County (CA),86741,14156,11702,16610,"11,702 to 16,610",16.3,13.5,19.1,13.5 to 19.1,18588,4230,3243,5217,"3,243 to 5,217",22.8,17.5,28.1,17.5 to 28.1,13344,2879,2164,3594,"2,164 to 3,594",21.6,16.2,27.0,16.2 to 27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,453","$46,225","$54,681","$46,225 to $54,681"
Merced County (CA),05000US06047,-120.7228019,37.1948063,268672,149377,8492,21156,2522,32,77857,26343,20093,38469,47303,21342,53314,30.9,0.4969,47739,29.7,15.3719454917453,2017,6,6047,Merced County (CA),266552,61297,56255,66339,"56,255 to 66,339",23.0,21.1,24.9,21.1 to 24.9,79634,26862,24467,29257,"24,467 to 29,257",33.7,30.7,36.7,30.7 to 36.7,58435,18552,16815,20289,"16,815 to 20,289",31.7,28.7,34.7,28.7 to 34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,036","$45,291","$50,781","$45,291 to $50,781"
Monterey County (CA),05000US06053,-121.3155732,36.240107,435232,242774,11055,24852,1903,1086,135093,45225,24535,52379,72620,68343,52257,34.0,0.4514,63876,32,17.6284396373469,2017,6,6053,Monterey County (CA),419435,49860,43546,56174,"43,546 to 56,174",11.9,10.4,13.4,10.4 to 13.4,112539,18275,15416,21134,"15,416 to 21,134",16.2,13.7,18.7,13.7 to 18.7,81172,13032,10850,15214,"10,850 to 15,214",16.1,13.4,18.8,13.4 to 18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$70,294","$68,046","$72,542","$68,046 to $72,542"
Napa County (CA),05000US06055,-122.3259947,38.5073511,142166,110943,2718,11301,1160,269,10439,7457,5699,17316,32157,34822,10032,41.0,0.4641,75077,29.9,11.858114243054,2017,6,6055,Napa County (CA),136679,9301,7460,11142,"7,460 to 11,142",6.8,5.5,8.1,5.5 to 8.1,29186,2521,1851,3191,"1,851 to 3,191",8.6,6.3,10.9,6.3 to 10.9,21917,1766,1274,2258,"1,274 to 2,258",8.1,5.9,10.3,5.9 to 10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$83,881","$79,865","$87,897","$79,865 to $87,897"
Nevada County (CA),05000US06057,-120.7734456,39.2951907,99107,91701,197,1742,490,0,1414,773,4665,12973,29321,27690,10505,50.2,0.4784,59022,34.3,11.3904102511109,2017,6,6057,Nevada County (CA),98883,10889,9162,12616,"9,162 to 12,616",11.0,9.3,12.7,9.3 to 12.7,17007,2451,1891,3011,"1,891 to 3,011",14.4,11.1,17.7,11.1 to 17.7,12567,1689,1270,2108,"1,270 to 2,108",13.4,10.1,16.7,10.1 to 16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,901","$59,354","$70,448","$59,354 to $70,448"
Orange County (CA),05000US06059,-117.7772068,33.6756872,3172532,1986194,53602,637622,13443,10791,352857,148793,145823,369136,600961,862800,346002,37.7,0.4695,81837,33.1,7.38177400510357,2017,6,6059,Orange County (CA),3148278,362109,344751,379467,"344,751 to 379,467",11.5,10.9,12.1,10.9 to 12.1,693374,108596,100876,116316,"100,876 to 116,316",15.7,14.6,16.8,14.6 to 16.8,508309,80717,75148,86286,"75,148 to 86,286",15.9,14.8,17.0,14.8 to 17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$86,031","$84,891","$87,171","$84,891 to $87,171"
Placer County (CA),05000US06061,-120.7227181,39.0620324,380531,309901,5796,26369,2292,392,15303,4001,7848,46015,103240,104141,28064,41.9,0.4571,85426,30,8.07884748102139,2017,6,6061,Placer County (CA),383174,29873,26624,33122,"26,624 to 33,122",7.8,7,8.6,7.0 to 8.6,85441,6132,4934,7330,"4,934 to 7,330",7.2,5.8,8.6,5.8 to 8.6,64645,4353,3481,5225,"3,481 to 5,225",6.7,5.4,8.0,5.4 to 8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$81,366","$78,602","$84,130","$78,602 to $84,130"
Riverside County (CA),05000US06065,-116.0022389,33.7298275,2387741,1406044,152433,149105,20442,7583,544724,120739,145309,402375,506515,335035,360386,35.3,0.4559,60134,34.2,12.4197247706422,2017,6,6065,Riverside County (CA),2388862,309235,292034,326436,"292,034 to 326,436",12.9,12.2,13.6,12.2 to 13.6,606770,98029,88814,107244,"88,814 to 107,244",16.2,14.7,17.7,14.7 to 17.7,448429,71037,64176,77898,"64,176 to 77,898",15.8,14.3,17.3,14.3 to 17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$63,776","$62,674","$64,878","$62,674 to $64,878"
Sacramento County (CA),05000US06067,-121.3404409,38.4500114,1514460,882763,148706,230645,10265,16214,117768,56814,66821,230687,345423,302855,245111,36.0,0.4649,59780,32.5,11.0450578407371,2017,6,6067,Sacramento County (CA),1511229,213232,200490,225974,"200,490 to 225,974",14.1,13.3,14.9,13.3 to 14.9,359657,65306,58907,71705,"58,907 to 71,705",18.2,16.4,20,16.4 to 20.0,260392,42791,37523,48059,"37,523 to 48,059",16.4,14.4,18.4,14.4 to 18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$62,959","$61,303","$64,615","$61,303 to $64,615"
San Bernardino County (CA),05000US06071,-116.1811967,34.8572198,2140096,1314742,182864,152270,15077,6381,364338,101683,157577,351679,433564,267503,368528,33.2,0.44,56337,34.3,12.1320713296366,2017,6,6071,San Bernardino County (CA),2118139,339748,320900,358596,"320,900 to 358,596",16.0,15.1,16.9,15.1 to 16.9,562661,129269,119904,138634,"119,904 to 138,634",23,21.3,24.7,21.3 to 24.7,409139,90046,83145,96947,"83,145 to 96,947",22,20.3,23.7,20.3 to 23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,270","$59,303","$61,237","$59,303 to $61,237"
San Diego County (CA),05000US06073,-116.7761174,33.0236041,3317749,2385470,165878,389369,24980,14356,169165,126358,148766,411111,684874,835451,398475,35.7,0.4644,70824,33.7,9.5499780292607,2017,6,6073,San Diego County (CA),3243699,385479,366449,404509,"366,449 to 404,509",11.9,11.3,12.5,11.3 to 12.5,718499,112637,104159,121115,"104,159 to 121,115",15.7,14.5,16.9,14.5 to 16.9,506837,73529,67042,80016,"67,042 to 80,016",14.5,13.2,15.8,13.2 to 15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$76,048","$75,141","$76,955","$75,141 to $76,955"
San Francisco County (CA),05000US06075,-123.0322294,37.7272391,870887,404410,43468,300409,3054,1967,70599,40123,32703,84652,126771,394813,86900,38.0,0.5029,103801,24.6,10.0344853541788,2017,6,6075,San Francisco County (CA),868690,87314,79689,94939,"79,689 to 94,939",10.1,9.2,11.0,9.2 to 11.0,116051,14234,11502,16966,"11,502 to 16,966",12.3,9.9,14.7,9.9 to 14.7,76351,9504,7546,11462,"7,546 to 11,462",12.4,9.8,15.0,9.8 to 15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$109,601","$107,133","$112,069","$107,133 to $112,069"
San Joaquin County (CA),05000US06077,-121.2722369,37.9350336,733709,417952,52126,111547,5428,4697,74430,43819,51513,126697,151553,77034,103399,34.3,0.4466,59518,31.6,16.1906983704982,2017,6,6077,San Joaquin County (CA),731380,113375,102366,124384,"102,366 to 124,384",15.5,14,17.0,14.0 to 17.0,200155,43313,38364,48262,"38,364 to 48,262",21.6,19.1,24.1,19.1 to 24.1,147484,29977,26539,33415,"26,539 to 33,415",20.3,18.0,22.6,18.0 to 22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,950","$59,547","$62,353","$59,547 to $62,353"
San Luis Obispo County (CA),05000US06079,-120.4475404,35.3852268,282887,238692,5167,10989,2262,28,16126,5377,8615,35036,70091,68286,28364,38.8,0.4376,70564,29.2,10.8783580404846,2017,6,6079,San Luis Obispo County (CA),268401,31826,27789,35863,"27,789 to 35,863",11.9,10.4,13.4,10.4 to 13.4,49608,6083,4824,7342,"4,824 to 7,342",12.3,9.8,14.8,9.8 to 14.8,36179,4213,3281,5145,"3,281 to 5,145",11.6,9.0,14.2,9.0 to 14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$70,634","$67,328","$73,940","$67,328 to $73,940"
San Mateo County (CA),05000US06081,-122.3715417,37.4146639,764797,388724,17413,214801,3102,10756,85183,29943,24778,84004,128261,275493,49373,39.5,0.4821,108627,29.5,7.29108542580045,2017,6,6081,San Mateo County (CA),765157,48795,42272,55318,"42,272 to 55,318",6.4,5.5,7.3,5.5 to 7.3,157864,11102,8842,13362,"8,842 to 13,362",7,5.6,8.4,5.6 to 8.4,114175,7828,6187,9469,"6,187 to 9,469",6.9,5.5,8.3,5.5 to 8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$115,908","$112,815","$119,001","$112,815 to $119,001"
Santa Barbara County (CA),05000US06083,-120.038485,34.5373784,446170,341741,8202,24802,4863,94,46374,32195,17569,47780,84230,89313,59709,33.8,0.4707,67436,34.5,10.9246116153852,2017,6,6083,Santa Barbara County (CA),429288,60921,55050,66792,"55,050 to 66,792",14.2,12.8,15.6,12.8 to 15.6,97215,16917,14438,19396,"14,438 to 19,396",17.4,14.9,19.9,14.9 to 19.9,69278,11308,9463,13153,"9,463 to 13,153",16.3,13.6,19.0,13.6 to 19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$70,651","$68,846","$72,456","$68,846 to $72,456"
Santa Clara County (CA),05000US06085,-121.6906224,37.2207774,1919402,844820,47142,683532,8787,8602,227352,79892,68559,198127,280826,673605,177431,37.0,0.4645,111069,29.3,6.78274056257246,2017,6,6085,Santa Clara County (CA),1911659,142603,130922,154284,"130,922 to 154,284",7.5,6.9,8.1,6.9 to 8.1,424596,34255,29855,38655,"29,855 to 38,655",8.1,7.1,9.1,7.1 to 9.1,307787,24654,21569,27739,"21,569 to 27,739",8,7.0,9.0,7.0 to 9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$118,468","$115,818","$121,118","$115,818 to $121,118"
Santa Cruz County (CA),05000US06087,-122.007205,37.0124883,274673,203973,2908,13692,1797,43,40674,13839,6871,28049,55684,72551,36169,37.4,0.4857,77613,35.3,9.52865765606657,2017,6,6087,Santa Cruz County (CA),264046,33262,28841,37683,"28,841 to 37,683",12.6,10.9,14.3,10.9 to 14.3,52634,7223,5644,8802,"5,644 to 8,802",13.7,10.7,16.7,10.7 to 16.7,38335,4982,3845,6119,"3,845 to 6,119",13,10.0,16.0,10.0 to 16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$76,633","$71,804","$81,462","$71,804 to $81,462"
Shasta County (CA),05000US06089,-122.0435495,40.7605215,179631,158293,1791,6016,2942,77,1522,1943,7170,31960,56179,27576,30786,42.1,0.4655,46724,34.7,17.2244954573826,2017,6,6089,Shasta County (CA),177161,30155,26328,33982,"26,328 to 33,982",17.0,14.8,19.2,14.8 to 19.2,37776,8635,7081,10189,"7,081 to 10,189",22.9,18.8,27,18.8 to 27.0,27221,5649,4508,6790,"4,508 to 6,790",20.8,16.6,25.0,16.6 to 25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,207","$48,094","$54,320","$48,094 to $54,320"
Solano County (CA),05000US06095,-121.939594,38.2672255,440207,219084,64438,66560,1568,3713,46315,13663,20668,70351,117183,76316,49802,37.9,0.434,73900,30.7,8.36752205507736,2017,6,6095,Solano County (CA),433708,43352,37727,48977,"37,727 to 48,977",10.0,8.7,11.3,8.7 to 11.3,97975,13687,11512,15862,"11,512 to 15,862",14,11.8,16.2,11.8 to 16.2,71100,8929,7201,10657,"7,201 to 10,657",12.6,10.2,15.0,10.2 to 15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$75,931","$71,905","$79,957","$71,905 to $79,957"
Sonoma County (CA),05000US06097,-122.9451943,38.532574,503070,371195,8632,21487,4397,1542,71200,19314,21317,66982,127657,122082,45561,42.1,0.4481,73929,32.9,9.90325539721819,2017,6,6097,Sonoma County (CA),495804,46165,40215,52115,"40,215 to 52,115",9.3,8.1,10.5,8.1 to 10.5,98058,10726,8684,12768,"8,684 to 12,768",10.9,8.8,13,8.8 to 13.0,72548,7032,5580,8484,"5,580 to 8,484",9.7,7.7,11.7,7.7 to 11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$79,511","$76,859","$82,163","$76,859 to $82,163"
Stanislaus County (CA),05000US06099,-121.0026557,37.5623842,541560,395715,17096,30615,3427,3166,68689,35558,36338,94190,111719,55620,76191,34.0,0.4532,54305,34.4,15.1601390551883,2017,6,6099,Stanislaus County (CA),542014,75614,66699,84529,"66,699 to 84,529",14.0,12.4,15.6,12.4 to 15.6,146477,27296,23038,31554,"23,038 to 31,554",18.6,15.7,21.5,15.7 to 21.5,106918,19031,15844,22218,"15,844 to 22,218",17.8,14.8,20.8,14.8 to 20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,925","$56,702","$61,148","$56,702 to $61,148"
Sutter County (CA),05000US06101,-121.7027576,39.0352571,96651,69300,1672,14849,653,501,3331,6649,6252,13546,23334,9987,17985,35.9,0.4662,51397,31.3,16.537331890555,2017,6,6101,Sutter County (CA),95866,12628,10279,14977,"10,279 to 14,977",13.2,10.7,15.7,10.7 to 15.7,24821,4521,3519,5523,"3,519 to 5,523",18.2,14.2,22.2,14.2 to 22.2,18230,3244,2498,3990,"2,498 to 3,990",17.8,13.7,21.9,13.7 to 21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,102","$49,969","$58,235","$49,969 to $58,235"
Tulare County (CA),05000US06107,-118.7805422,36.2304529,460437,340284,6167,20506,6233,908,72610,37578,35771,69771,80388,36919,114290,30.8,0.4554,45881,32.1,18.4941908468979,2017,6,6107,Tulare County (CA),459688,110299,101815,118783,"101,815 to 118,783",24.0,22.2,25.8,22.2 to 25.8,142199,45371,41232,49510,"41,232 to 49,510",31.9,29.0,34.8,29.0 to 34.8,104315,32196,29082,35310,"29,082 to 35,310",30.9,27.9,33.9,27.9 to 33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,377","$44,002","$48,752","$44,002 to $48,752"
Ventura County (CA),05000US06111,-119.1331432,34.3587415,849738,681115,14929,60772,5746,1787,45523,48163,35936,105220,181595,190429,79392,37.7,0.4474,80135,34,12.1317015491009,2017,6,6111,Ventura County (CA),842392,80217,71799,88635,"71,799 to 88,635",9.5,8.5,10.5,8.5 to 10.5,194438,25607,21969,29245,"21,969 to 29,245",13.2,11.3,15.1,11.3 to 15.1,143773,17357,14613,20101,"14,613 to 20,101",12.1,10.2,14.0,10.2 to 14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$82,436","$80,369","$84,503","$80,369 to $84,503"
Yolo County (CA),05000US06113,-121.9031776,38.6792682,215802,151935,5476,30155,1835,836,11635,8756,9417,22892,33335,52163,41907,30.9,0.5057,64904,31.7,9.59414140031483,2017,6,6113,Yolo County (CA),209714,36761,33639,39883,"33,639 to 39,883",17.5,16,19.0,16.0 to 19.0,45759,6447,5090,7804,"5,090 to 7,804",14.1,11.1,17.1,11.1 to 17.1,33236,4459,3439,5479,"3,439 to 5,479",13.4,10.3,16.5,10.3 to 16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,900","$60,238","$69,562","$60,238 to $69,562"
